text,intent,sentiment,urgency,risk
I need help with my account,request,neutral,low,low
I need help regarding my account,request,neutral,low,low
I need help for my account issue,request,neutral,low,low
I need help related to my account,request,neutral,low,low
I need help with my user account,request,neutral,low,low
I need assistance with my account,request,neutral,low,low
I need assistance regarding my account,request,neutral,low,low
I need assistance for my account issue,request,neutral,low,low
I need assistance related to my account,request,neutral,low,low
I need assistance with my user account,request,neutral,low,low
I need support with my account,request,neutral,low,low
I need support regarding my account,request,neutral,low,low
I need support for my account issue,request,neutral,low,low
I need support related to my account,request,neutral,low,low
I need support with my user account,request,neutral,low,low
I need guidance with my account,request,neutral,low,low
I need guidance regarding my account,request,neutral,low,low
I need guidance for my account issue,request,neutral,low,low
I need guidance related to my account,request,neutral,low,low
I need guidance with my user account,request,neutral,low,low
I require help with my account,request,neutral,low,low
I require help regarding my account,request,neutral,low,low
I require help for my account issue,request,neutral,low,low
I require help related to my account,request,neutral,low,low
I require help with my user account,request,neutral,low,low
I require assistance with my account,request,neutral,low,low
I require assistance regarding my account,request,neutral,low,low
I require assistance for my account issue,request,neutral,low,low
I require assistance related to my account,request,neutral,low,low
I require assistance with my user account,request,neutral,low,low
I require support with my account,request,neutral,low,low
I require support regarding my account,request,neutral,low,low
I require support for my account issue,request,neutral,low,low
I require support related to my account,request,neutral,low,low
I require support with my user account,request,neutral,low,low
I require guidance with my account,request,neutral,low,low
I require guidance regarding my account,request,neutral,low,low
I require guidance for my account issue,request,neutral,low,low
I require guidance related to my account,request,neutral,low,low
I require guidance with my user account,request,neutral,low,low
I'm looking for help with my account,request,neutral,low,low
I'm looking for help regarding my account,request,neutral,low,low
I'm looking for help for my account issue,request,neutral,low,low
I'm looking for help related to my account,request,neutral,low,low
I'm looking for help with my user account,request,neutral,low,low
I'm looking for assistance with my account,request,neutral,low,low
I'm looking for assistance regarding my account,request,neutral,low,low
I'm looking for assistance for my account issue,request,neutral,low,low
I'm looking for assistance related to my account,request,neutral,low,low
I'm looking for assistance with my user account,request,neutral,low,low
I'm looking for support with my account,request,neutral,low,low
I'm looking for support regarding my account,request,neutral,low,low
I'm looking for support for my account issue,request,neutral,low,low
I'm looking for support related to my account,request,neutral,low,low
I'm looking for support with my user account,request,neutral,low,low
I'm looking for guidance with my account,request,neutral,low,low
I'm looking for guidance regarding my account,request,neutral,low,low
I'm looking for guidance for my account issue,request,neutral,low,low
I'm looking for guidance related to my account,request,neutral,low,low
I'm looking for guidance with my user account,request,neutral,low,low
Please provide help with my account,request,neutral,low,low
Please provide help regarding my account,request,neutral,low,low
Please provide help for my account issue,request,neutral,low,low
Please provide help related to my account,request,neutral,low,low
Please provide help with my user account,request,neutral,low,low
Please provide assistance with my account,request,neutral,low,low
Please provide assistance regarding my account,request,neutral,low,low
Please provide assistance for my account issue,request,neutral,low,low
Please provide assistance related to my account,request,neutral,low,low
Please provide assistance with my user account,request,neutral,low,low
Please provide support with my account,request,neutral,low,low
Please provide support regarding my account,request,neutral,low,low
Please provide support for my account issue,request,neutral,low,low
Please provide support related to my account,request,neutral,low,low
Please provide support with my user account,request,neutral,low,low
Please provide guidance with my account,request,neutral,low,low
Please provide guidance regarding my account,request,neutral,low,low
Please provide guidance for my account issue,request,neutral,low,low
Please provide guidance related to my account,request,neutral,low,low
Please provide guidance with my user account,request,neutral,low,low
Could you offer help with my account,request,neutral,low,low
Could you offer help regarding my account,request,neutral,low,low
Could you offer help for my account issue,request,neutral,low,low
Could you offer help related to my account,request,neutral,low,low
Could you offer help with my user account,request,neutral,low,low
Could you offer assistance with my account,request,neutral,low,low
Could you offer assistance regarding my account,request,neutral,low,low
Could you offer assistance for my account issue,request,neutral,low,low
Could you offer assistance related to my account,request,neutral,low,low
Could you offer assistance with my user account,request,neutral,low,low
Could you offer support with my account,request,neutral,low,low
Could you offer support regarding my account,request,neutral,low,low
Could you offer support for my account issue,request,neutral,low,low
Could you offer support related to my account,request,neutral,low,low
Could you offer support with my user account,request,neutral,low,low
Could you offer guidance with my account,request,neutral,low,low
Could you offer guidance regarding my account,request,neutral,low,low
Could you offer guidance for my account issue,request,neutral,low,low
Could you offer guidance related to my account,request,neutral,low,low
Could you offer guidance with my user account,request,neutral,low,low
Kindly look into this matter urgently,complaint,neutral,urgent,low
Kindly look into this issue as soon as possible,complaint,neutral,urgent,low
Kindly look into this concern immediately,complaint,neutral,urgent,low
Kindly look into this problem with priority,complaint,neutral,urgent,low
Kindly address this matter urgently,complaint,neutral,urgent,low
Kindly address this issue as soon as possible,complaint,neutral,urgent,low
Kindly address this concern immediately,complaint,neutral,urgent,low
Kindly address this problem with priority,complaint,neutral,urgent,low
Kindly review this matter urgently,complaint,neutral,urgent,low
Kindly review this issue as soon as possible,complaint,neutral,urgent,low
Kindly review this concern immediately,complaint,neutral,urgent,low
Kindly review this problem with priority,complaint,neutral,urgent,low
Kindly handle this matter urgently,complaint,neutral,urgent,low
Kindly handle this issue as soon as possible,complaint,neutral,urgent,low
Kindly handle this concern immediately,complaint,neutral,urgent,low
Kindly handle this problem with priority,complaint,neutral,urgent,low
Please look into this matter urgently,complaint,neutral,urgent,low
Please look into this issue as soon as possible,complaint,neutral,urgent,low
Please look into this concern immediately,complaint,neutral,urgent,low
Please look into this problem with priority,complaint,neutral,urgent,low
Please address this matter urgently,complaint,neutral,urgent,low
Please address this issue as soon as possible,complaint,neutral,urgent,low
Please address this concern immediately,complaint,neutral,urgent,low
Please address this problem with priority,complaint,neutral,urgent,low
Please review this matter urgently,complaint,neutral,urgent,low
Please review this issue as soon as possible,complaint,neutral,urgent,low
Please review this concern immediately,complaint,neutral,urgent,low
Please review this problem with priority,complaint,neutral,urgent,low
Please handle this matter urgently,complaint,neutral,urgent,low
Please handle this issue as soon as possible,complaint,neutral,urgent,low
Please handle this concern immediately,complaint,neutral,urgent,low
Please handle this problem with priority,complaint,neutral,urgent,low
Please resolve this issue immediately,complaint,neutral,urgent,low
Please resolve this problem right away,complaint,neutral,urgent,low
Please resolve this concern without delay,complaint,neutral,urgent,low
Please fix this issue immediately,complaint,neutral,urgent,low
Please fix this problem right away,complaint,neutral,urgent,low
Please fix this concern without delay,complaint,neutral,urgent,low
Please address this issue immediately,complaint,neutral,urgent,low
Please address this problem right away,complaint,neutral,urgent,low
Please address this concern without delay,complaint,neutral,urgent,low
Kindly resolve this issue immediately,complaint,neutral,urgent,low
Kindly resolve this problem right away,complaint,neutral,urgent,low
Kindly resolve this concern without delay,complaint,neutral,urgent,low
Kindly fix this issue immediately,complaint,neutral,urgent,low
Kindly fix this problem right away,complaint,neutral,urgent,low
Kindly fix this concern without delay,complaint,neutral,urgent,low
Kindly address this issue immediately,complaint,neutral,urgent,low
Kindly address this problem right away,complaint,neutral,urgent,low
Kindly address this concern without delay,complaint,neutral,urgent,low
I request you to resolve this issue immediately,complaint,neutral,urgent,low
I request you to resolve this problem right away,complaint,neutral,urgent,low
I request you to resolve this concern without delay,complaint,neutral,urgent,low
I request you to fix this issue immediately,complaint,neutral,urgent,low
I request you to fix this problem right away,complaint,neutral,urgent,low
I request you to fix this concern without delay,complaint,neutral,urgent,low
I request you to address this issue immediately,complaint,neutral,urgent,low
I request you to address this problem right away,complaint,neutral,urgent,low
I request you to address this concern without delay,complaint,neutral,urgent,low
Can you provide more details?,inquiry,neutral,low,low
Can you provide additional information?,inquiry,neutral,low,low
Can you provide further clarification?,inquiry,neutral,low,low
Can you share more details?,inquiry,neutral,low,low
Can you share additional information?,inquiry,neutral,low,low
Can you share further clarification?,inquiry,neutral,low,low
Can you give more details?,inquiry,neutral,low,low
Can you give additional information?,inquiry,neutral,low,low
Can you give further clarification?,inquiry,neutral,low,low
Could you provide more details?,inquiry,neutral,low,low
Could you provide additional information?,inquiry,neutral,low,low
