text,intent,sentiment,urgency,risk,department
The firewall update deployed last night has blocked access to our third-party payroll software. Payroll processing is scheduled for tomorrow morning.,Complaint,Negative,High,High,IT
What's the company's stance on using AI-based writing tools for internal documents? I want to make sure I'm within policy before using one.,Inquiry,Neutral,Low,Medium,IT
"I'm not sure if this falls under IT or Facilities, but the smart TV in Conference Room B hasn't worked in over a month. It's being used frequently for client presentations.",Complaint,Negative,Medium,Low,General
"The cost savings from the process change are materializing, albeit more slowly than projected. We're still on track for the annual target if Q3 holds.",Information,Neutral,Medium,Low,Finance
Our subsidiary's accounts haven't been reconciled since December and the parent company consolidation is next week. This is a serious gap.,Escalation,Negative,High,High,Finance
The quarterly all-hands session was much more engaging this time around. The format change really worked — people were asking genuine questions.,Appreciation,Positive,Low,Low,Management
I'd like to request approval to attend an external industry conference next month. The estimated cost including travel is within my approved training budget.,Request,Positive,Low,Low,HR
I'd like to understand the process for submitting a suggestion for improvement through formal channels. Is there a form or a specific point of contact?,Inquiry,Neutral,Low,Low,General
This is to inform all employees that the office will remain closed on 14th April on account of a public holiday. The revised project timelines have been shared with managers.,Information,Neutral,Low,Low,HR
Just a quick note to say the remote working setup provided to the team has been excellent. The equipment and connectivity are far better than expected.,Appreciation,Positive,Low,Low,IT
The diversity and inclusion training conducted last week was one of the most impactful sessions I've attended here. I hope it becomes a regular program.,Appreciation,Positive,Low,Low,HR
The internet speed in the client meeting rooms has become unreliable. Two video calls this week dropped mid-conversation in front of clients.,Complaint,Negative,Medium,Medium,IT
This is to confirm that the two new VP appointments have been finalized. Formal announcements will be made at Monday's all-hands meeting.,Information,Neutral,Low,Low,Management
"I'd like to formally raise the matter of noise levels in the open-plan section. Some teams are having loud calls without using meeting rooms, making it difficult to concentrate.",Complaint,Negative,Low,Low,General
Just a heads-up that the SSL certificate for our customer portal expires in 14 days. Please coordinate a renewal before it lapses.,Information,Neutral,Medium,High,IT
I'm flagging this more for visibility than action. A minor process was skipped during last week's release — it didn't cause issues but should be noted for future audits.,Information,Neutral,Low,Medium,IT
The new gym subsidy benefit has been incredibly well received across the office. Several people mentioned it as a major positive in the pulse survey.,Appreciation,Positive,Low,Low,HR
Could we set up a working session to revisit the go-to-market strategy for our new product? The initial traction metrics suggest we may need to reposition the offer.,Request,Neutral,Medium,Medium,Management
Could someone confirm the process for booking the large boardroom for a full-day strategy session? I've been told there are new booking rules I may not be aware of.,Inquiry,Neutral,Low,Low,General
I am writing to formally report an incident that occurred on 8th March involving a colleague whose behavior I found inappropriate and professionally unacceptable.,Escalation,Negative,High,High,HR
"We are running dangerously low on raw material stock for Product Line C. At current consumption rates, we have less than four days of supply remaining.",Escalation,Negative,High,High,Operations
The invoice from vendor GlobalTech Solutions (INV-2024-0871) was paid twice last month. The duplicate payment totals Rs. 4.8 lakhs and needs to be recovered immediately.,Complaint,Negative,High,High,Finance
Can Finance confirm whether the CAPEX budget for the new office fit-out has been formally sanctioned? The vendor is waiting to start and we need a purchase order raised.,Inquiry,Neutral,Medium,Medium,Finance
A few members of the team have separately mentioned feeling unclear about the new reporting structure. They're not sure who makes the final call on certain decisions.,Information,Neutral,Medium,Medium,Management
The appraisal cycle was supposed to conclude by end of February but our team has not received any feedback or rating. It's now mid-March.,Complaint,Negative,Medium,Medium,HR
Our main production line has been operating at 60% capacity since Monday due to a conveyor belt malfunction. The maintenance team is working on it but needs spare parts.,Complaint,Negative,High,High,Operations
Please approve the revised vendor contract for our cloud storage provider. The new terms include a 10% price increase but extend the SLA guarantee to 99.95%.,Request,Neutral,Medium,Low,Finance
The engineering team has completed the migration of the legacy authentication system. All users should now be logging in via the new SSO portal.,Information,Neutral,Low,Low,IT
The monthly department newsletter has contained factual errors in the last two editions. It's creating confusion and undermining trust in internal communications.,Complaint,Negative,Low,Low,General
The canteen vendor has been serving food past the agreed quality standards for two weeks now. Several employees have raised informal complaints.,Complaint,Negative,Medium,Medium,Operations
Who owns the vendor relationship for our office equipment maintenance contracts? I want to log a service request but don't know the right channel.,Inquiry,Neutral,Low,Low,Operations
Is there a general directory or org chart available somewhere? I've joined recently and finding it difficult to know who to reach out to for different topics.,Inquiry,Neutral,Low,Low,General
This is a reminder that the annual health check-up camp is being organized on 5th and 6th May. Please register on the HR portal to secure your slot.,Information,Neutral,Low,Low,General
Is there a process to nominate a colleague for the quarterly recognition award? My teammate Deepa has gone above and beyond on two critical projects this quarter.,Inquiry,Positive,Low,Low,HR
I'd like to flag that the bonus calculations for the sales team appear to use a different formula than what was agreed in January. The discrepancy affects 8 people.,Escalation,Negative,High,High,Finance
Priya mentioned she may need to take some time off soon for personal reasons. I just want to make sure we handle her workload sensitively during that period.,Inquiry,Neutral,Medium,Low,HR
Please be advised that the revised GST filing deadline has been extended to 20th April. All departments should ensure invoices are submitted to Finance by 15th.,Information,Neutral,Medium,Low,Finance
A client has disputed an invoice saying the amounts don't match their purchase order. The difference is Rs. 1.1 lakh. Can Finance review and issue a credit note if needed?,Request,Neutral,Medium,Medium,Finance
Just wanted to note that the recent company-wide townhall was the most transparent and engaging one I've attended in several years here. It set a new standard.,Appreciation,Positive,Low,Low,General
The meeting yesterday covered a lot of ground. I'm not sure we landed on concrete next steps for the compliance item — can we align before end of day?,Inquiry,Neutral,Medium,Medium,Management
I'd like to apply for two weeks of annual leave from 15th to 29th March. My manager has given verbal approval and I wanted to formally submit the request.,Request,Neutral,Low,Low,HR
"We're onboarding three contractors next Monday and need their system access provisioned before they start. Accounts for Raj Mehta, Priya Sinha, and Tom Walsh.",Request,Neutral,Medium,Low,IT
Would it be possible to get a standing desk and a second monitor provisioned for my workstation? My physiotherapist has recommended it.,Request,Neutral,Low,Low,IT
The culture survey results are in and overall engagement scores have risen by 8 points compared to last year. The leadership team's visibility scores improved the most.,Information,Positive,Low,Low,Management
"I've noticed that three project codes in the last quarter's P&L don't match any active projects in our system. Before I raise this formally, wanted to check if there's an explanation.",Inquiry,Neutral,Medium,High,Finance
The sprint velocity has dropped slightly over the past two cycles. There are some plausible explanations but I want to make sure it's not something systemic.,Inquiry,Neutral,Medium,Medium,IT
The facilities team deserves a mention for the way they managed the office move over the weekend. No disruption Monday morning — that takes real coordination.,Appreciation,Positive,Low,Low,Operations
What is the standard notice period for contractor relationships? We're looking to end an engagement and want to follow the right process.,Inquiry,Neutral,Medium,Low,HR
The shipment from our Pune warehouse was dispatched three days late without any communication to the client. This is the second time this quarter.,Complaint,Negative,High,High,Operations
I've seen the draft contract and I'm broadly comfortable with the terms. There's one clause I'd like legal to confirm before we proceed.,Request,Neutral,Medium,Medium,Management
Please share access to the shared budget tracker for our department. I've been working off a local copy and need to consolidate by Friday.,Request,Neutral,Medium,Low,Finance
"I wanted to raise the issue of parking allocation — the visitor spots are frequently being used by employees, which causes problems when actual guests arrive.",Complaint,Negative,Low,Low,General
This is the weekly operations update. Dispatch targets were met at 94% this week. The shortfall is attributed to the public holiday on Wednesday.,Information,Neutral,Low,Low,Operations
Someone sent me a suspicious email asking for my login credentials. I didn't click anything but wanted IT to know in case it's a phishing campaign.,Information,Neutral,Medium,High,IT
I'm concerned that the regional expansion project is being driven without adequate risk assessment. The entry costs in the new market appear to have been underestimated.,Escalation,Negative,Medium,High,Management
Please arrange for the legal team to review the NDA before our partner meeting next week. The timeline is tight but manageable.,Request,Neutral,Medium,Medium,Management
Our team has been given a project scope and deadline without any input from us on feasibility. The timelines are not realistic given current workload.,Complaint,Negative,High,Medium,Management
"My business cards have had a typo in the job title for three print runs now. Despite raising it each time, the error keeps reappearing.",Complaint,Negative,Low,Low,General
The API gateway has been intermittently dropping requests since Tuesday. About 3% of transactions are failing silently with no error logged on the client side.,Complaint,Negative,High,High,IT
"The project contingency fund was used without the required two-level approval. While the expense itself is valid, the process breach needs to be documented.",Information,Neutral,Medium,Medium,Finance
I'd appreciate your perspective on whether we should accelerate the digital transformation program given the competitive moves we've observed in the market this week.,Inquiry,Neutral,Medium,Medium,Management
"Please note that all travel above Rs. 50,000 now requires VP-level approval as part of the cost rationalization measures in effect until end of financial year.",Information,Neutral,Low,Low,Management
I'd like to request a project extension of two weeks due to unforeseen dependencies that emerged during implementation. I have a revised plan ready to share.,Request,Neutral,Medium,Medium,Management
